County,Fatals,Peds,Persons,TotalVehicles
ALAMANCE,56,8,110,80
ALEXANDER,13,0,27,20
ALLEGHANY,5,0,8,5
ANSON,12,0,24,16
ASHE,10,0,18,12
AVERY,7,0,17,11
BEAUFORT,24,7,53,40
BERTIE,22,3,47,27
BLADEN,36,1,67,45
BRUNSWICK,69,10,124,97
BUNCOMBE,91,17,201,141
BURKE,53,8,106,72
CABARRUS,58,7,130,93
CALDWELL,30,5,64,39
CAMDEN,4,1,8,4
CARTERET,22,6,44,32
CASWELL,18,3,30,22
CATAWBA,48,13,92,71
CHATHAM,38,5,61,49
CHEROKEE,23,4,42,31
CHOWAN,6,0,11,9
CLAY,8,2,18,12
CLEVELAND,75,11,144,101
COLUMBUS,73,6,147,102
CRAVEN,38,9,84,52
CUMBERLAND,131,32,252,186
CURRITUCK,14,6,34,22
DARE,11,3,23,18
DAVIDSON,91,17,218,139
DAVIE,22,0,57,39
DUPLIN,35,4,66,44
DURHAM,83,18,175,136
EDGECOMBE,32,3,66,40
FORSYTH,129,25,281,195
FRANKLIN,43,7,106,66
GASTON,84,14,185,136
GATES,7,0,14,11
GRAHAM,12,2,16,16
GRANVILLE,41,3,63,52
GREENE,8,0,16,14
GUILFORD,185,36,396,272
HALIFAX,37,7,88,53
HARNETT,93,16,180,122
HAYWOOD,36,8,81,51
HENDERSON,38,6,70,52
HERTFORD,18,5,36,24
HOKE,38,9,78,54
HYDE,2,0,3,3
IREDELL,78,9,162,116
JACKSON,22,1,52,31
JOHNSTON,97,10,215,136
JONES,10,1,20,19
LEE,40,2,80,52
LENOIR,31,2,78,52
LINCOLN,39,4,93,64
MACON,21,2,41,35
MADISON,16,1,30,22
MARTIN,14,1,23,19
MCDOWELL,21,1,46,31
MECKLENBURG,331,101,675,490
MITCHELL,3,0,7,5
MONTGOMERY,26,1,53,32
MOORE,53,6,86,70
NASH,74,12,132,91
NEW,50,19,125,81
NORTHAMPTON,21,1,37,25
ONSLOW,58,13,132,94
ORANGE,30,4,60,46
PAMLICO,3,0,6,5
PASQUOTANK,14,3,25,19
PENDER,62,15,106,77
PERQUIMANS,4,0,11,6
PERSON,16,1,37,25
PITT,63,16,138,97
POLK,9,1,16,10
RANDOLPH,58,10,117,82
RICHMOND,38,2,110,50
ROBESON,140,30,269,180
ROCKINGHAM,40,4,91,61
ROWAN,57,10,118,86
RUTHERFORD,27,7,48,39
SAMPSON,59,8,119,82
SCOTLAND,20,1,36,27
STANLY,31,1,62,49
STOKES,22,2,36,26
SURRY,37,2,95,57
SWAIN,5,0,13,8
TRANSYLVANIA,12,0,38,20
UNION,79,9,161,105
VANCE,26,4,50,34
WAKE,199,56,434,287
WARREN,24,3,48,33
WASHINGTON,8,2,13,10
WATAUGA,12,2,28,17
WAYNE,55,9,96,79
WILKES,31,5,61,46
WILSON,50,9,87,64
YADKIN,18,0,40,26
YANCEY,9,1,20,12
